arquivo,resolucao,coerencia_visual,marca_dagua,assinatura_problematica,ip_protegida,pessoa_identificavel,decisao,observacoes
img_001.png,768x768,sim,nao,nao,nao,nao,aceita,"Frutos e folhagem coerentes com flora do Cerrado; sem elementos problemáticos visíveis na folha de contato."
img_002.png,768x768,sim,nao,nao,nao,nao,aceita,"Tronco tortuoso e textura de casca compatíveis com o estilo e o tema."
img_003.png,768x768,sim,nao,nao,nao,nao,aceita,"Cachoeira e vegetação em alto contraste; sem pessoas identificáveis."
img_004.png,768x768,sim,nao,nao,nao,nao,aceita,"Buriti/frutos com formas legíveis e textura adequada."
img_005.png,768x768,sim,nao,nao,nao,nao,aceita,"Bromélia com composição botânica coerente."
img_006.png,768x768,sim,nao,nao,nao,nao,aceita,"Beija-flor legível; fundo hachurado sem marca aparente."
img_007.png,768x768,sim,nao,nao,nao,nao,aceita,"Ave camuflada ainda reconhecível após processamento."
img_008.png,768x768,sim,nao,nao,nao,nao,aceita,"Galhos e copa geram boa leitura de xilogravura."
img_009.png,768x768,sim,nao,nao,nao,nao,aceita,"Cacho floral e folhas com textura compatível."
img_010.png,768x768,sim,nao,nao,nao,nao,aceita,"Flor isolada em contraste forte, sem elemento protegido."
img_011.png,768x768,sim,nao,nao,nao,nao,aceita,"Ave em galhos com silhueta clara."
img_012.png,768x768,sim,nao,nao,nao,nao,aceita,"Flor e inseto polinizador coerentes; sem pessoa/IP."
img_013.png,768x768,sim,nao,nao,nao,nao,aceita,"Ramos e botões florais com boa densidade gráfica."
img_014.png,768x768,sim,nao,nao,nao,nao,aceita,"Ave pousada, composição simples e adequada."
img_015.png,768x768,sim,nao,nao,nao,nao,aceita,"Inflorescência e folhas com alto contraste."
img_016.png,768x768,sim,nao,nao,nao,nao,aceita,"Paisagem com silhuetas de árvores e céu hachurado."
img_017.png,768x768,sim,nao,nao,nao,nao,aceita,"Paisagem do vale com recorte ajustado na versão v2."
img_018.png,768x768,sim,nao,nao,nao,nao,aceita,"Anfíbio legível; sem pessoa identificável."
img_019.png,768x768,sim,nao,nao,nao,nao,aceita,"Vegetação arbustiva coerente com flora do Cerrado."
img_020.png,768x768,sim,nao,nao,nao,nao,aceita,"Ave pousada legível; sem marca ou assinatura aparente."
img_021.png,768x768,sim,nao,nao,nao,nao,aceita,"Flor em primeiro plano com boa leitura gráfica."
img_022.png,768x768,sim,nao,nao,nao,nao,aceita,"Ramo fino e folhas compatíveis com o tema."
img_023.png,768x768,sim,nao,nao,nao,nao,aceita,"Paisagem aberta sem elementos humanos identificáveis."
img_024.png,768x768,sim,nao,nao,nao,nao,aceita,"Cachoeira e mata legíveis; sem marca aparente."
