prompt_id,prompt,modelo,imagem,clipscore
1,"flpxilobr, um lobo-guara caminhando entre capim dourado no Cerrado, xilogravura digital de alto contraste",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_01_flpxilobr-um-lobo-guara-caminhando-e_base.png,26.145938
1,"flpxilobr, um lobo-guara caminhando entre capim dourado no Cerrado, xilogravura digital de alto contraste",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_01_flpxilobr-um-lobo-guara-caminhando-e_config_b.png,19.779481
2,"flpxilobr, uma seriema sobre uma pedra ao amanhecer, hachuras pretas e composicao grafica artesanal",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_02_flpxilobr-uma-seriema-sobre-uma-pedr_base.png,22.258356
2,"flpxilobr, uma seriema sobre uma pedra ao amanhecer, hachuras pretas e composicao grafica artesanal",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_02_flpxilobr-uma-seriema-sobre-uma-pedr_config_b.png,23.656000
3,"flpxilobr, flores de pequi e folhas retorcidas do Cerrado em padrao ornamental de xilogravura",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_03_flpxilobr-flores-de-pequi-e-folhas-r_base.png,26.441181
3,"flpxilobr, flores de pequi e folhas retorcidas do Cerrado em padrao ornamental de xilogravura",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_03_flpxilobr-flores-de-pequi-e-folhas-r_config_b.png,23.236312
4,"flpxilobr, uma cachoeira pequena cercada por buritis e pedras, paleta reduzida em preto e marfim",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_04_flpxilobr-uma-cachoeira-pequena-cerc_base.png,24.199499
4,"flpxilobr, uma cachoeira pequena cercada por buritis e pedras, paleta reduzida em preto e marfim",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_04_flpxilobr-uma-cachoeira-pequena-cerc_config_b.png,22.401083
5,"flpxilobr, tamandua-bandeira atravessando uma trilha de terra vermelha, contornos espessos e textura manual",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_05_flpxilobr-tamandua-bandeira-atravess_base.png,28.888497
5,"flpxilobr, tamandua-bandeira atravessando uma trilha de terra vermelha, contornos espessos e textura manual",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_05_flpxilobr-tamandua-bandeira-atravess_config_b.png,28.824174
6,"flpxilobr, vaso de barro com frutos nativos do Cerrado sobre mesa simples, gravura digital com sombras hachuradas",base,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_06_flpxilobr-vaso-de-barro-com-frutos-n_base.png,32.782775
6,"flpxilobr, vaso de barro com frutos nativos do Cerrado sobre mesa simples, gravura digital com sombras hachuradas",config_b,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\geradas\prompt_06_flpxilobr-vaso-de-barro-com-frutos-n_config_b.png,21.741456
