caso,prompt,imagem_gerada,imagem_treino_mais_proxima,similaridade_clip_imagem,risco_copia,observacao
1,"flpxilobr, frutos de araticum do brejo em vegetacao do Cerrado, com contornos pretos marcantes e hachuras artesanais",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_01_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_004.png,0.734186,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
2,"flpxilobr, arvore tortuosa de casca grossa tipica do Cerrado, renderizada em alto contraste com textura de xilogravura",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_02_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_008.png,0.814113,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
3,"flpxilobr, queda d'agua entre rochas e mata de Cerrado, em composicao preta e marfim com hachuras densas",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_03_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_024.png,0.911940,medio,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
4,"flpxilobr, cachos de buriti e folhas de palmeira do Tocantins, simplificados em linguagem grafica de xilogravura digital",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_04_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_015.png,0.869037,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
5,"flpxilobr, bromelia nativa com folhas radiais e centro escuro, desenhada com contrastes fortes e cortes artesanais",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_05_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_021.png,0.883139,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
6,"flpxilobr, beija-flor pousado em ramo fino, com corpo claro, fundo hachurado e linhas pretas expressivas",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_06_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_021.png,0.901010,medio,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
7,"flpxilobr, bacurau camuflado sobre tronco e folhas, representado com texturas de entalhe e sombras de alto contraste",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_07_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_011.png,0.894620,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
8,"flpxilobr, galhos secos e copa de arvore do Cerrado contra fundo claro, com linhas irregulares e hachuras cruzadas",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_08_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_008.png,0.919870,medio,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
9,"flpxilobr, cacho de flores de Byrsonima entre folhas, transformado em padrao grafico preto e marfim",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_09_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_015.png,0.889988,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
10,"flpxilobr, flor clara isolada sobre fundo escuro, com petalas simplificadas e textura manual de xilogravura",c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\resultados\avaliacao\memorizacao_imagens\mem_10_config_b.png,c:\Users\felip\OneDrive\Documentos\Engenharia de Inteligência Artificial\Modelos Multimodais\sistematizacao\atelie-generativo-felipe-santiago\dados\imagens\img_012.png,0.891547,baixo,Revisar visualmente pares com risco medio/alto; similaridade CLIP nao prova copia.
